64,2.215944,2.785721,2.344526,2.178288,2.228511,2.217396,2.278864,2.284994,2.153695,2.19262,2.148521
128,4.363651,4.345112,4.441086,4.448454,4.336368,4.367041,4.333232,4.316434,4.321872,4.321322,4.347114
256,8.859741,8.712708,8.64317,8.94135,8.596296,8.732001,8.60934,8.676104,8.657308,8.643462,8.639439
512,18.772892,17.428916,17.525951,17.471024,17.373282,17.875796,17.237094,17.212669,17.238003,17.26057,17.209828
1024,35.230184,35.612522,35.430246,34.748529,34.990945,35.631539,34.540064,34.61617,36.570618,34.878404,34.559633
sudo 64,2.159416,2.209815,2.416243,2.25214,2.770282,3.017787,2.224847,2.163355,2.17979,2.196898,2.16998
sudo 128,4.453209,4.508819,4.413717,4.311472,4.493342,4.404706,4.306588,4.401018,4.465782,4.400394,4.375218
sudo 256,9.534814,8.727403,8.74806,8.626557,8.666674,8.740312,8.682063,8.65918,8.632811,8.654613,8.664957
sudo 512,17.804626,17.378623,17.201522,17.295028,17.47452,17.308311,17.614166,17.407314,17.317219,17.306437,17.363933
sudo 1024,34.571561,34.675329,34.490783,34.633123,34.488929,34.856322,34.973824,36.610582,34.649575,34.864395,36.18493
